ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1676484153599053824,2,RT @FranckenTheo: Dagje Defensie met mijn collega van vele jaren @PeterBuysrogge :8.30u: Commissie voor buitenlandse missies (gesloten de…,0,0,0,5,
1759601947437359340,0,RT @de_NVA: 'De voorstellen van Magnette om minder te werken zijn pure fantasie. Hij zou beter focussen op de vele Waalse werklozen. Als de…,0,0,0,104,
1759559504528552428,7,"RT @Bart_DeWever: Terwijl de kosten van ons sociaal beleid richting onbetaalbaarheid evolueren, werkt een derde van de actieve Waalse bevol…",0,0,0,177,
1759118449005977614,7,"RT @jorisvancauter: Mini. v. justitie in DS: ""30 procent van het politiewerk bestaat uit administratieve zaken. Laat ons daar artificiële i…",0,0,0,17,
1758861164069425657,13,"Je zou bijna vergeten dat haar partij al 25j regeert en meermaals de justitieminister leverde, waaronder ook de voorbije 4,5 jaar…Antwerpse advocate is nieuw witte konijn bij Open VLD: “Hervormingen om justitie efficiënter te maken dringen zich op” https://t.co/BMdYQAI6YB",233,3,38,32,8720.0
1758855818907095453,12,"RT @GeertNoels: De overheidsfinanciën ontsporen volgen het @FPB_BE ""vooral door hogere uitgaven voor pensioenen en gezondheidszorg"".  Meer…",0,0,0,71,
1758839301813498234,7,RT @peterdedecker: Voor wie dacht dat het Verhofstadt was die de grootste put achterliet: think again. Maar het beste moet nog komen...,0,0,0,24,
1758361371475956190,8,"RT @GeertBourgeois: Nog eens ⁦@destandaard⁩ :  ⁦@de_NVA⁩ , niet de eerste minister, kaartte het gebrek aan marktmacht v v d boer in de voed…",0,0,0,33,
1756023048375849417,0,"RT @de_NVA: ""Hervormen ja, Vandenbroucke nee"", zo kopt Artsenkrant (@aktweetsbe) over een enquête die ze voerden bij honderden artsen.Hie…",0,0,0,9,
1755924769722003949,13,RT @peterdedecker: Sociale transfers kosten Vlaming bijna 1.200 euro per jaar. Of zo'n 5000 euro per gezin per jaar. Wegens een allesbehalv…,0,0,0,85,
